Fall;Fall1 <-[e]s, Fälle> [fal, Pl ˈfɛlə] SUBST m;1
Falle;Fal·le <-, -n> [ˈfalə] SUBST f;1
Familie;Fa·mi·li·e <-, -n> [faˈmi:li̯ə] SUBST f;2
Fang;Fang1 <-[e]s, Fänge> [faŋ, Pl ˈfɛŋə] SUBST m;1
Fantasie;Fan·ta·sie1 <-, -n> [fantaˈzi:, Pl -ˈzi:ən] SUBST f;3
Farbe;Far·be <-, -n> [ˈfarbə] SUBST f;1
Favorit;Fa·vo·rit(in) <-en, -en> [favoˈri:t, Pl -ˈri:tn̩] SUBST m(f);3
Februar;Feb·ru·ar <-, -e> [ˈfe:brua:ɐ̯] SUBST m Pl selten;1
Februar;Feb·ru·ar <-s, -e> [ˈfe:brua:ɐ̯] SUBST m Pl selten;1
Feder;Fe·der <-, -n> [ˈfɛdɐ] SUBST f;1
Fee;Fee <-, -n> [fe:, Pl ˈfe:ən] SUBST f;1
Fehler;Feh·ler <-s, -> [ˈfe:lɐ] SUBST m;1
Feier;Fei·er <-, -n> [ˈfaiɐ] SUBST f;1
Feind;Feind(in) <-[e]s, -e> [faint, Pl faində] SUBST m(f);1
Feld;Feld <-[e]s, -er> [felt, Pl ˈfɛldɐ] SUBST nt;1
Fenster;Fens·ter <-s, -> [ˈfɛnstɐ] SUBST nt;1
Fest;Fest <-[e]s, -e> [fɛst] SUBST nt;1
Festnahme;Fest·nah·me <-, -n> [ˈfɛstna:mə] SUBST f;1
Feuer;Feu·er <-s, -> [ˈfɔyɐ] SUBST nt;1
Fichte;Fich·te <-, -n> [fɪçtə] SUBST f;1
Figur;Fi·gur <-, -en> [fiˈgu:ɐ̯] SUBST f;2
Film;Film <-[e]s, -e> [fɪlm] SUBST m;1
Filter;Fil·ter <-s, -> [ˈfɪltɐ] SUBST m;1
Filter;Fil·ter <-s, -> [ˈfɪltɐ] SUBST nt;1
Finale;Fi·na·le <-s, -> [fiˈna:lə] SUBST nt;2
Finale;Fi·na·le <-s, -s> [fiˈna:lə] SUBST nt;2
Finger;Fin·ger <-s, -> [ˈfɪŋɐ] SUBST m;1
Fisch;Fisch <-[e]s, -e> [fɪʃ] SUBST m;1
Fläche;Flä·che <-, -n> [ˈflɛçə] SUBST f;1
Flasche;Fla·sche <-, -n> [ˈflaʃə] SUBST f;1
Fleck;Fleck <-[e]s, -e> [flɛk] SUBST m;1
Fleck;Fleck <-[e]s, -en> [flɛk] SUBST m;1
Fliege;Flie·ge <-, -n> [ˈfli:gə] SUBST f;1
Flinte;Flin·te <-, -n> [ˈflɪntə] SUBST f;1
Flucht;Flucht1 <-, -en> [flʊxt] SUBST f;1
Flüchtling;Flücht·ling <-s, -e> [ˈflʏçtlɪŋ] SUBST m;1
Flur;Flur1 <-[e]s, -e> [flu:ɐ̯] SUBST m;1
Fluss;Fluss <-es, Flüsse> [flʊs, Pl ˈflʏsə] SUBST m;1
Fokus;Fo·kus <-, -se> [ˈfo:kʊs] SUBST m;1
Folge;Fol·ge <-, -n> [ˈfɔlgə] SUBST f;1
Fond;Fond <-s, -s> [fõ:] SUBST m;1
Fondue;Fon·due <-s, -s> [fõˈdy:] SUBST nt;2
Form;Form <-, -en> [fɔrm] SUBST f;1
Foto;Fo·to <-s, -s> [ˈfo:to] SUBST nt;1
Frage;Fra·ge <-, -n> [ˈfra:gə] SUBST f;1
Fraktion;Frak·tion <-, -en> [frakˈtsi̯o:n] SUBST f;2
Franzose;Fran·zo·se1 <-n, -n> [franˈtso:zə] SUBST m;2
Freude;Freu·de <-, -n> [ˈfrɔydə] SUBST f;1
Frieden;Frie·den <-s, -> [ˈfri:dn̩] SUBST m;1
Friseur;Fri·seur <-s, -e> [friˈzø:ɐ̯] SUBST m BRD, A;2
Frucht;Frucht <-, Früchte> [frʊxt, Pl ˈfrʏçtə] SUBST f;1
Frühling;Früh·ling <-s, -e> [ˈfry:lɪŋ] SUBST m;1
Frühstück;Früh·stück <-s, -e> [ˈfry:ʃtʏk] SUBST nt;1
Fuchs;Fuchs (Füch·sin) <-es, Füchse> [fʊks, ˈfʏksɪn, Pl ˈfʏksə] SUBST m (f);1
Führer;Füh·rer <-s, -> [ˈfy:rɐ] SUBST m;1
Fundament;Fun·da·ment <-[e]s, -e> [fʊndaˈmɛnt] SUBST nt;2
Fünf;Fünf <-, -en> [fʏnf] SUBST f;1
Funktion;Funk·tion <-, -en> [fʊŋkˈtsi̯o:n] SUBST f;2
Fusion;Fu·sion <-, -en> [fuˈzi̯o:n] SUBST f;2
Fuß;Fuß <-es, Füße> [fu:s, Pl ˈfy:sə] SUBST m;1
Gabe;Ga·be <-, -n> [ˈga:bə] SUBST f;1
Gabel;Ga·bel <-, -n> [ˈga:bl̩] SUBST f;1
Galerie;Ga·le·rie <-, -n> [galəˈri:, Pl -ˈri:ən] SUBST f;3
Gang;Gang <-[e]s, Gänge> [gaŋ, Pl ˈgɛŋə] SUBST m;1
Gang;Gang <-, -s> [gɛŋ] SUBST f;1
Gans;Gans <-, Gänse> [gans, Pl ˈgɛnzə] SUBST f;1
Garage;Ga·ra·ge <-, -n> [gaˈra:ʒə] SUBST f;2
Garten;Gar·ten <-s, Gärten> [ˈgartn̩, Pl ˈgɛrtn̩] SUBST m;1
Gas;Gas <-es, -e> [ga:s, Pl ˈga:zə] SUBST nt;1
Gast;Gast <-es, Gäste> [gast, Pl ˈgɛstə] SUBST m;1
Gebäude;Ge·bäu·de <-s, -> [gəˈbɔydə] SUBST nt;2
Gebiet;Ge·biet <-[e]s, -e> [gəˈbi:t] SUBST nt;2
Gebot;Ge·bot <-[e]s, -e> [gəˈbo:t] SUBST nt;2
Gebrauch;Ge·brauch <-[e]s, Gebräuche> [gəˈbraux, Pl gəˈbrɔyçə] SUBST m;2
Gebrechen;Ge·bre·chen <-s, -> [gəˈbrɛçn̩] SUBST nt geh;2
Geburt;Ge·burt <-, -en> [gəˈbu:ɐ̯t] SUBST f;2
Gedanke;Ge·dan·ke <-s, -n> [gəˈdaŋkə] SUBST m;2
Gedicht;Ge·dicht <-[e]s, -e> [gəˈdɪçt] SUBST nt;2
Gefahr;Ge·fahr <-, -en> [gəˈfa:ɐ̯] SUBST f;2
Gefühl;Ge·fühl <-[e]s, -e> [gəˈfy:l] SUBST nt;2
Gegend;Ge·gend <-, -en> [ˈge:gn̩t, Pl ˈge:gn̩dən] SUBST f;1
Gehalt;Ge·halt1 <-[e]s, Gehälter> [gəˈhalt, Pl gəˈhɛltɐ] SUBST nt;2
Gehalt;Ge·halt1 <-[e]s, Gehälter> [gəˈhalt, Pl gəˈhɛltɐ] SUBST m;2
Gehalt;Ge·halt2 <-[e]s, -e> [gəˈhalt] SUBST m;2
Gehirn;Ge·hirn <-[e]s, -e> [gəˈhɪrn] SUBST nt;2
Geige;Gei·ge <-, -n> [ˈgaigə] SUBST f;1
Gelände;Ge·län·de <-s, -> [gəˈlɛndə] SUBST nt;2
Gelee;Ge·lee <-s, -s> [ʒeˈle:, ʒəˈle:] SUBST m;2
Gelee;Ge·lee <-s, -s> [ʒeˈle:, ʒəˈle:] SUBST nt;2
Gelegenheit;Ge·le·gen·heit <-, -en> [gəˈle:gn̩hait] SUBST f;2
Gemälde;Ge·mäl·de <-s, -> [gəˈmɛ:ldə] SUBST nt;2
Gemeinde;Ge·mein·de <-, -n> [gəˈmaində] SUBST f;2
Gemüse;Ge·mü·se <-s, -> [gəˈmy:zə] SUBST nt;2
Gen;Gen <-s, -e> [ˈge:n] SUBST nt;1
Generation;Ge·ne·ra·tion <-, -en> [genəraˈtsi̯o:n] SUBST f;4
Genie;Ge·nie <-s, -s> [ʒeˈni:] SUBST nt;2
Genuss;Ge·nuss <-es, Genüsse> [gəˈnʊs, Pl gəˈnʏsə] SUBST m;2
Gerät;Ge·rät <-[e]s, -e> [gəˈrɛ:t] SUBST nt;2
Gericht;Ge·richt1 <-[e]s, -e> [gəˈrɪçt] SUBST nt (Speise);2
Geschäft;Ge·schäft <-[e]s, -e> [gəˈʃɛft] SUBST nt;2
Geschenk;Ge·schenk <-[e]s, -e> [gəˈʃɛŋk] SUBST nt;2
